n,accept-reoject,k-dDarts
400.0,53.84240674972534,52.58470058441162
400.0,54.95476245880127,39.98975419998169
400.0,54.09873032569885,37.941112756729126
400.0,54.958945989608765,40.317830085754395
400.0,53.20964217185974,46.935466051101685
400.0,56.340399980545044,44.079065561294556
400.0,55.080880641937256,47.76822876930237
500.0,84.4473762512207,76.93285059928894
500.0,92.5693793296814,84.82313752174377
500.0,88.34378957748413,80.71581172943115
500.0,91.64903593063354,68.4285991191864
500.0,88.5407395362854,74.6308422088623
500.0,90.61481428146362,75.28988671302795
500.0,88.59894227981567,85.17575931549072
500.0,88.97628259658813,72.71239495277405
500.0,91.16848039627075,68.06331944465637
500.0,89.89033889770508,75.83879017829895
500.0,85.32379984855652,62.897892475128174
500.0,91.6752986907959,73.38880968093872
500.0,93.92311596870422,85.51489305496216
500.0,91.9199550151825,73.22890210151672
500.0,91.60720300674438,78.93161416053772
500.0,91.49969029426575,94.09644389152527
500.0,88.61305689811707,72.98743009567261
500.0,90.23941612243652,80.02097249031067
500.0,85.74254131317139,81.1025013923645
500.0,89.87230658531189,76.97984004020691
600.0,141.97877717018127,123.34697413444519
600.0,142.32327890396118,124.9607903957367
600.0,141.07792568206787,124.89121007919312
600.0,143.9909963607788,91.767507314682
600.0,145.49655842781067,111.13885569572449
600.0,139.49237275123596,115.7386736869812
600.0,140.76671171188354,108.24760746955872
600.0,143.57219743728638,122.58598709106445
600.0,140.52767848968506,116.11187720298767
600.0,141.38623476028442,126.48257303237915
600.0,143.31642246246338,121.31924939155579
600.0,139.84816789627075,128.0541021823883
600.0,139.98253798484802,119.67363786697388
600.0,141.68273520469666,134.81238675117493
600.0,148.46600222587585,126.77814984321594
600.0,140.87474727630615,107.50156688690186
600.0,135.7087438106537,138.10652208328247
600.0,139.86627101898193,119.71308135986328
600.0,141.80737233161926,123.07714223861694
600.0,139.36288380622864,127.36262822151184
700.0,214.3166058063507,181.96754670143127
700.0,216.23542547225952,197.72431826591492
700.0,213.70390367507935,166.4702444076538
700.0,214.89679098129272,163.42053484916687
700.0,215.46626543998718,193.79781126976013
700.0,217.086608171463,204.89065194129944
700.0,211.12444686889648,193.5624279975891
700.0,216.58811855316162,170.173335313797
700.0,207.26478099822998,173.5972719192505
700.0,214.98721551895142,184.25985670089722
700.0,207.5155279636383,189.6528389453888
700.0,213.36145305633545,200.6855947971344
700.0,212.78977823257446,162.03078818321228
700.0,225.618910074234,195.5374720096588
700.0,216.28467750549316,160.39368343353271
700.0,211.5661849975586,174.88505816459656
700.0,216.07404327392578,198.21003985404968
700.0,222.20340704917908,184.40099811553955
700.0,206.99892950057983,177.4865539073944
700.0,216.22743010520935,197.2653033733368
800.0,301.7486689090729,231.6427869796753
800.0,318.5293679237366,206.9402620792389
800.0,310.08200240135193,258.0673418045044
800.0,315.67223739624023,269.53873920440674
800.0,309.2285351753235,202.69370460510254
800.0,307.7506105899811,247.55998468399048
800.0,311.784193277359,214.11998677253723
800.0,307.9606671333313,267.2641022205353
800.0,293.92413544654846,220.53528952598572
800.0,312.25603914260864,282.23476123809814
800.0,315.66495537757874,263.9613780975342
800.0,316.2258975505829,290.8247730731964
800.0,302.086886882782,280.0714592933655
800.0,307.1158299446106,272.11083221435547
800.0,300.62790298461914,270.5100588798523
800.0,306.43545031547546,234.118262052536
800.0,314.13119077682495,173.77016592025757
800.0,317.38259720802307,248.8197946548462
800.0,314.01256370544434,254.33218717575073
800.0,314.11203479766846,285.525976896286
